ENRIQUE,MORENO,40,RENOVABLES,MERIDA
AMPARO,CABALLERO,63,RENOVABLES,MERIDA
MARTA,BALAM,94,MECATRONICA,MERIDA
JULIA,ORTIZ,86,RENOVABLES,UMAN
PASCUAL,MAY,58,FISICA,MERIDA
PEDRO,GOMEZ,85,FISICA,MERIDA
ENRIQUE,GIL,89,MECATRONICA,PROGRESO
PEDRO,ALARCON,99,RENOVABLES,KANASIN
ANA,HERNANDEZ,89,FISICA,KANASIN
MANUEL,GONZALEZ,92,FISICA,PROGRESO
CONSUELO,PECH,83,RENOVABLES,MERIDA
ELENA,CASTILLO,73,MECATRONICA,MERIDA
JAVIER,PEREZ,57,RENOVABLES,MERIDA
ANGELES,DIAZ,80,MECATRONICA,MERIDA
MARIO,RAMIREZ,89,FISICA,MERIDA
PILAR,SERRANO,87,RENOVABLES,KANASIN
MIGUEL,JIMENEZ,80,RENOVABLES,MERIDA
JUAN,CEBRIAN,85,FISICA,MERIDA
JOSE,COLLADO,56,FISICA,PROGRESO
ANTONIA,RODRIGUEZ,63,RENOVABLES,MERIDA
﻿CRISTINA,VALERO,84,MECATRONICA,MERIDA
JUAN,BALAM,100,FISICA,MOTUL
LUCIA,SERRANO,60,FISICA,MERIDA
PILAR,GIL,88,RENOVABLES,MOTUL
ALICIA,BALAM,85,RENOVABLES,MERIDA
MANUEL,RODENAS,12,RENOVABLES,MERIDA
LUCIA,CABALLERO,85,MECATRONICA,MERIDA
ASCENSION,EK,86,MECATRONICA,UMAN
RAUL,TORRES,52,MECATRONICA,MERIDA
JESUS,FERNANDEZ,60,MECATRONICA,MERIDA
RAQUEL,CUENCA,82,MECATRONICA,MERIDA
ROSA,MORCILLO,93,MECATRONICA,MERIDA
JUAN,ARENAS,47,FISICA,MERIDA
DANIEL,ROMERO,98,RENOVABLES,MERIDA
RAFAEL,MAY,87,MECATRONICA,MERIDA
PABLO,MOLINA,86,MECATRONICA,MERIDA
MARIA,MARIN,86,FISICA,MERIDA
MARIA,GARCIA,96,FISICA,MERIDA
EMILIO,BALAM,45,FISICA,MERIDA
JULIA,RODENAS,98,FISICA,MERIDA
